,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1272192556,0,5,4,-37.8048668,144.9353795,-37.8085692,144.9925145,5332.0,2018-05-23,23:26:20,1324.8000000000002,23:48:24,16.87
ID5889593186,2,6,2,-37.7738026,144.9836466,-37.8175604,144.9322261,10514.0,2018-02-28,08:34:59,3166.679999999999,9:27:45,314.27
ID1723151852,0,9,3,-38.1109156,144.6541725,-37.8216522,144.983389,45282.0,2018-06-08,21:56:20,10926.300000000007,0:58:26,35.47
ID1411037924,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50805.1,2018-03-19,16:32:47,13204.979999999994,20:12:51,34.35
ID1365225641,0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49774.6,2018-02-08,13:24:04,12099.660000000003,16:45:43,31.76
ID3774698802,1,1,4,-37.8124874,144.9632917,-37.802133,145.0041449,4465.0,2018-05-01,03:04:39,1165.7400000000005,3:24:04,19.39
ID3717761408,1,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-05-24,15:04:15,5323.559999999998,16:32:58,33.37
ID3872668405,1,9,1,-38.1109156,144.6541725,-37.8044515,144.9432776,43274.0,2018-05-26,10:03:41,10376.579999999994,12:56:37,56.9
ID1412783654,0,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-02-22,11:53:03,11418.06,15:03:21,26.12
ID3821429000,1,7,2,-37.8618349,144.905716,-37.8145912,144.9469568,9382.5,2018-07-06,00:29:14,3149.5199999999986,1:21:43,29.21
ID3285161197,1,8,1,-37.8158343,145.04645,-37.8184938,144.9442143,9836.6,2018-04-09,12:53:36,2780.519999999999,13:39:56,22.89
ID5759071441,2,8,5,-37.807202,145.0266373,-37.8049604,144.9315487,9765.0,2018-03-25,00:46:23,2523.5999999999995,1:28:26,277.17
ID3627839221,1,5,2,-37.801661,144.9356236,-37.814967,144.9451251,4597.0,2018-02-04,18:52:25,1100.1600000000008,19:10:45,20.56
ID1781267046,0,8,5,-37.807202,145.0266373,-37.8005394,144.9346418,10179.0,2018-01-22,11:06:04,2622.6000000000004,11:49:46,9.69
ID1738908218,0,6,3,-37.8187113,144.9167717,-37.8109456,144.9780495,6120.0,2018-01-08,07:01:13,1586.8200000000006,7:27:39,7.03
ID1206206424,0,5,3,-37.7990407,144.9600878,-37.8233837,144.970383,3096.0,2018-01-11,22:45:38,837.6000000000001,22:59:35,16.42
ID3402429948,1,9,3,-38.1109156,144.6541725,-37.8160876,144.9722284,44262.0,2018-03-18,05:45:44,10696.679999999993,8:44:00,63.95
ID3739010668,1,4,4,-38.1109156,144.6541725,-37.8152136,145.0059807,47532.0,2018-03-14,02:05:49,11437.62,5:16:26,65.84
ID1719287330,0,6,6,-37.8194114,144.9324236,-37.7908183,144.9857929,7442.0,2018-06-04,16:33:40,1899.9600000000003,17:05:19,12.45
ID1915397981,0,9,1,-38.1109156,144.6541725,-37.819643,144.9601982,43132.0,2018-07-26,19:35:49,10407.539999999997,22:29:16,28.48
ID1529902729,0,8,3,-37.8158343,145.04645,-37.8186363,144.9827666,6443.0,2018-04-16,18:26:40,1945.9799999999998,18:59:05,14.3
ID3550617122,1,1,2,-37.8165677,144.9666637,-37.817062,144.9317439,3933.0,2018-05-15,04:20:29,994.86,4:37:03,18.43
ID3657790575,1,2,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-02-08,03:41:23,4917.479999999999,5:03:20,35.75
ID5476117767,2,7,2,-37.8618349,144.905716,-37.8237402,144.9353131,10012.0,2018-03-27,09:38:14,3325.74,10:33:39,329.03
ID1619248809,0,1,5,-37.824369,144.9525705,-37.8158343,145.04645,9106.0,2018-06-28,09:14:03,2596.6800000000003,9:57:19,10.39
ID3475660537,1,1,3,-37.8053576,144.9736032,-37.7874421,144.9804091,2345.0,2018-01-09,09:30:16,569.82,9:39:45,6.91
ID3814689510,1,1,4,-37.8180514,144.9694604,-37.8043808,145.0133855,5287.0,2018-02-21,12:01:25,1416.5400000000004,12:25:01,17.48
ID1766607369,0,8,8,-37.8158343,145.04645,-37.8176728,144.969795,7660.0,2018-01-08,14:18:16,2239.0199999999995,14:55:35,12.29
ID1569207868,0,1,4,-37.8057528,144.9466402,-37.8022278,144.9905989,4513.0,2018-07-07,14:33:38,1115.6400000000006,14:52:13,17.06
ID1698670939,0,9,4,-38.1109156,144.6541725,-37.8051976,144.9944969,46733.0,2018-02-14,12:18:32,11321.640000000003,15:27:13,28.95
ID3889181099,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-06-07,21:06:51,13173.359999999999,0:46:24,71.64
ID5207720317,2,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-04-02,10:46:24,13204.979999999994,14:26:28,1268.01
ID1281610535,0,3,2,-37.821258,145.005661,-37.8158013,144.934271,7273.0,2018-03-15,03:55:36,1768.2,4:25:04,17.98
ID1289873103,0,7,7,-37.8618349,144.905716,-37.7974545,144.926022,12250.0,2018-05-22,11:27:28,3868.4399999999996,12:31:56,11.39
ID3130494976,1,1,6,-37.81321,144.9375063,-37.773845,144.9836895,7195.0,2018-03-09,13:06:42,1606.92,13:33:28,16.83
ID1598962068,0,7,4,-37.8618349,144.905716,-37.8145465,145.0142926,12297.0,2018-07-27,04:50:38,3832.199999999999,5:54:30,22.24
ID5267892152,2,6,7,-37.7908183,144.9857929,-37.8618349,144.905716,11712.0,2018-03-10,12:31:09,3717.4800000000005,13:33:06,380.22
ID3444866294,1,2,9,-37.8149372,144.9452921,-38.1109156,144.6541725,41940.0,2018-07-21,04:41:12,10091.039999999999,7:29:23,62.9
ID1624905171,0,9,3,-38.1109156,144.6541725,-37.8162146,144.9641561,43421.0,2018-03-08,16:07:13,10489.49999999999,19:02:02,27.79
ID3587624265,1,6,8,-37.773845,144.9836895,-37.807202,145.0266373,8606.0,2018-02-12,05:24:52,1995.7200000000003,5:58:07,24.23
ID1836532493,0,8,2,-37.8158343,145.04645,-37.8158434,144.9342969,10273.0,2018-05-17,22:53:38,2879.2199999999984,23:41:37,21.49
ID1653869345,0,5,2,-37.8037495,144.918308,-37.8240231,144.9330111,4913.0,2018-02-20,11:37:09,1193.2199999999998,11:57:02,6.97
ID3848839834,1,6,4,37.7907967,144.985865,-37.8039763,145.0054783,3210.0,2018-05-09,23:32:29,895.7400000000001,23:47:24,18.41
ID3966643349,1,6,8,-37.7908183,144.9857929,-37.8158343,145.04645,7471.0,2018-06-02,16:03:29,2192.7000000000003,16:40:01,24.1
ID1502562485,0,6,8,-37.7874325,144.9803767,-37.8158343,145.04645,8361.0,2018-01-21,07:53:14,2438.22,8:33:52,11.69
ID5670710856,2,8,4,-37.8158343,145.04645,-37.7999886,144.9888579,6272.0,2018-05-26,23:09:16,1932.9600000000003,23:41:28,220.36
ID3762156395,1,8,2,-37.8158343,145.04645,-37.8152655,144.9277894,11783.0,2018-04-14,02:40:30,3270.7199999999984,3:35:00,32.6
ID5471968960,2,4,9,-37.80741,145.0105353,-38.1109156,144.6541725,48228.0,2018-01-01,13:49:05,11663.339999999998,17:03:28,1129.98
ID3292651248,1,7,3,-37.8618349,144.905716,-37.8131411,144.9738925,8639.0,2018-05-25,01:34:54,2911.079999999999,2:23:25,25.98
ID1335416072,0,4,8,-37.8073942,144.9986816,-37.8158343,145.04645,4558.0,2018-02-24,02:48:20,1451.46,3:12:31,21.3
ID1298839646,0,8,5,-37.8158343,145.04645,-37.803488,144.9364684,10545.0,2018-01-25,06:17:21,2889.4200000000014,7:05:30,9.87
ID3555306163,1,3,2,37.8229914,144.9762569,-37.8148243,144.9376494,4242.0,2018-02-01,21:32:18,1038.0000000000002,21:49:36,19.39
ID1895516127,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-04-08,16:04:06,4298.280000000001,17:15:44,21.83
ID3338693123,1,4,7,-37.8119347,145.0134889,-37.8618349,144.905716,12221.0,2018-03-25,20:30:55,3878.340000000002,21:35:33,30.6
ID1602760011,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-07-18,06:40:45,4298.280000000001,7:52:23,12.1
ID1820863423,0,2,8,-37.8195201,144.9435127,-37.8158343,145.04645,9701.0,2018-04-01,19:27:24,2665.74,20:11:49,18.45
ID1559545541,0,7,5,-37.8618349,144.905716,-37.8092158,144.9372023,10531.0,2018-01-16,05:25:39,3422.879999999999,6:22:41,20.23
ID1171139168,0,9,7,38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-05-23,22:52:07,13204.979999999994,2:32:11,39.25
ID1307292782,0,3,1,37.8167231,144.9769207,-37.8208641,144.9474851,2913.0,2018-06-19,14:40:40,734.6400000000002,14:52:54,10.49
ID1509682017,0,7,6,37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-04-01,20:54:04,3645.299999999998,21:54:49,20.18
ID1128707029,0,9,4,-38.1109156,144.6541725,-37.8039646,145.0033097,47611.0,2018-01-15,04:38:04,11560.800000000001,7:50:44,35.77
ID1669381983,0,5,7,-37.8058035,144.9271009,37.8618349,144.905716,11390.0,2018-03-16,01:35:27,3703.4400000000005,2:37:10,20.42
ID3125966107,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-07-17,14:40:14,13173.359999999999,18:19:47,66.0
ID3872292845,1,4,6,-37.8087861,145.0087412,37.7907967,144.985865,4173.0,2018-02-21,14:04:14,1150.8600000000001,14:23:24,14.64
ID3966253261,1,8,2,-37.8158343,145.04645,-37.823687,144.9431055,9964.0,2018-03-28,10:03:38,2887.679999999999,10:51:45,19.13
ID3319709218,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-01-05,20:49:55,13173.359999999999,0:29:28,67.15
ID3760640924,1,2,9,-37.8136525,144.9370198,38.1109156,144.6541725,42677.0,2018-07-26,00:32:37,10225.74,3:23:02,57.93
ID1675169077,0,7,2,-37.8618349,144.905716,-37.8147807,144.9376339,10363.0,2018-07-12,13:42:53,3403.139999999999,14:39:36,16.1
ID3617462704,1,4,7,-37.802017,145.006551,-37.8618349,144.905716,12178.0,2018-04-23,00:07:36,3875.1600000000017,1:12:11,31.07
ID1633111418,0,4,5,-37.8025657,145.0050374,37.813111,144.9335591,8092.0,2018-07-07,22:43:23,2074.0200000000013,23:17:57,20.8
ID3791840416,1,4,5,-37.8030914,145.008892,-37.8030115,144.9295058,7583.0,2018-04-21,11:43:22,2065.139999999999,12:17:47,18.03
ID1125684864,0,9,8,-38.1109156,144.6541725,37.8158343,145.04645,51032.0,2018-05-11,17:40:13,12681.060000000005,21:11:34,31.78
ID1279827016,0,5,8,-37.8091367,144.9372571,-37.8158343,145.04645,10169.0,2018-06-06,19:57:15,2796.6000000000004,20:43:51,13.45
ID1158693219,0,8,5,-37.8158343,145.04645,-37.8148524,144.9271316,11904.0,2018-02-04,18:25:41,3298.619999999997,19:20:39,17.52
ID3660109320,1,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-02-06,01:42:55,11589.399999999998,4:54:54,63.7
ID3240610952,1,4,5,-37.8139265,145.0078546,-37.7993535,144.9277558,7880.0,2018-03-26,02:21:51,2028.6200000000003,2:55:22,22.3
ID5462590883,2,2,6,-37.8205969,144.9488156,-37.773845,144.9836895,6829.0,2018-03-24,19:43:45,1483.2599999999998,20:08:16,166.71
ID1504715064,0,3,1,-37.8260818,144.9806708,-37.8200687,144.9651511,1872.0,2018-06-06,00:26:15,452.34,0:33:47,15.29
ID1974445915,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-02-11,08:40:48,4390.280000000001,9:52:26,17.18
ID1304426354,0,3,9,-37.8249062,144.9911605,-38.1109156,144.6541725,46155.0,2018-06-11,11:56:03,11133.0,15:02:03,25.88
ID3908117083,1,1,7,-37.8216313,144.9440358,-37.8618349,144.905716,9438.0,2018-02-27,15:37:27,3266.52,16:31:53,24.58
ID3604153419,1,4,8,-37.8027259,145.0052034,-37.8158343,145.04645,5479.0,2018-01-23,12:34:58,1640.52,13:02:18,15.23
ID1364478169,0,4,3,-37.8109101,145.0041604,-37.8115651,144.9834455,1997.0,2018-05-22,07:59:28,473.64,8:07:21,4.92
ID3346951107,1,3,5,-37.8097154,144.9914314,-37.8081468,144.9342466,5455.0,2018-04-11,05:13:53,1358.2000000000003,5:36:51,19.97
ID3761799946,1,6,2,-37.7908183,144.9857929,-37.8158083,144.936941,6180.0,2018-02-26,01:30:36,1557.42,1:56:33,19.65
ID3404281692,1,6,4,-37.7874325,144.9803767,-37.8154501,145.0130966,5914.0,2018-01-09,04:52:48,1534.74,5:18:22,20.79
ID3375858572,1,8,3,-37.807202,145.0266373,-37.8155691,145.001408,3291.0,2018-07-09,23:25:42,764.7999999999998,23:38:19,16.75
ID5723087832,2,6,5,-37.773845,144.9836895,-37.8087334,144.9251611,8075.0,2018-03-27,21:13:20,1820.0999999999985,21:43:40,201.03
ID3774162356,1,2,1,-37.8246475,144.945698,-37.8031905,144.9695871,4005.0,2018-07-07,23:08:46,1062.24,23:26:28,22.67
ID1299006559,0,7,1,-37.8618349,144.905716,-37.8130154,144.9406963,10084.0,2018-06-02,00:11:24,3322.6799999999985,1:06:46,23.06
ID3479509614,1,9,5,-38.1109156,144.6541725,-37.8132321,144.9313859,43955.0,2018-03-14,07:37:15,10557.279999999997,10:33:35,52.41
ID3745419904,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-06-25,15:34:23,13173.359999999999,19:13:56,66.98
ID5740816201,2,9,3,-38.1109156,144.6541725,-37.8123685,144.9870955,45761.0,2018-02-24,08:45:36,11051.94,11:48:56,1066.34
ID3182210897,1,5,2,-37.8146258,144.9281072,-37.8239148,144.9475744,3507.0,2018-02-04,09:31:19,869.4599999999999,9:45:39,12.78
ID3799362032,1,7,2,-37.8618349,144.905716,-37.8121781,144.9444538,9719.0,2018-06-27,05:14:02,3242.8199999999983,6:08:04,28.56
ID3834283047,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-02-21,08:44:23,4917.479999999999,9:26:46,27.18
ID1403467287,0,7,3,-37.8618349,144.905716,-37.8150464,144.9718458,8311.0,2018-07-09,12:08:02,2845.1399999999994,17:26:53,15.86
ID1844005837,0,2,1,-37.8214425,144.9450779,-37.8067011,144.9560165,2382.0,2018-03-20,08:37:42,621.7800000000001,8:48:03,6.28
ID1818027592,0,6,3,-37.773845,144.9836895,-37.8152942,144.9751559,5058.0,2018-06-21,11:01:31,1058.5799999999997,11:19:09,7.59
ID3738609509,1,6,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-05-01,16:07:07,4213.5599999999995,17:17:20,27.47
ID5359353436,2,7,2,-37.8618349,144.905716,-37.8106998,144.9283886,11344.0,2018-01-19,10:02:05,3669.659999999997,11:03:14,362.58
ID3782364238,1,5,4,-37.7997643,144.935714,-37.8009874,144.992572,7702.0,2018-02-12,18:56:26,1946.6400000000012,19:28:52,18.18
ID3882927809,1,1,7,-37.8146593,144.9377443,-37.8618349,144.905716,10352.0,2018-01-17,17:40:05,3400.0200000000004,18:36:45,26.11
ID3978681522,1,5,1,-37.7996716,144.9370344,-37.8023661,144.9620569,3417.0,2018-05-16,13:07:13,966.7800000000004,17:11:39,15.17
ID5734510271,2,5,7,-37.7934454,144.9363949,-37.8618349,144.905716,11836.0,2018-01-19,11:22:11,3830.6400000000012,16:14:37,377.64
ID1924306427,0,5,1,-37.8001819,144.9289411,-37.8162701,144.9642341,4100.0,2018-01-02,04:44:59,1070.7000000000003,5:02:49,16.38
ID1798027887,0,7,5,-37.8618349,144.905716,-37.7963818,144.9398892,11210.0,2018-04-23,21:48:05,3603.0599999999954,22:48:08,20.75
ID3235663099,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-06-01,20:39:42,12681.060000000005,0:11:03,63.96
ID3899452472,1,9,4,-38.1109156,144.6541725,-37.8011512,145.003712,47886.0,2018-06-15,08:01:30,11629.500000000004,11:15:19,55.03
ID3898194438,1,9,2,-38.1109156,144.6541725,-37.8102036,144.9370154,42705.0,2018-05-16,15:09:18,10226.819999999998,20:42:22,54.02
ID3420604362,1,8,1,-37.8158343,145.04645,-37.8079891,144.975727,6311.0,2018-07-22,02:44:26,1857.2999999999997,3:15:23,28.26
ID1702512204,0,2,5,-37.8210532,144.9475329,-37.8099179,144.9360412,1745.0,2018-04-27,11:00:10,397.56000000000006,11:06:47,6.03
ID1214845015,0,9,2,-38.1109156,144.6541725,-37.8147461,144.9360479,42912.0,2018-04-07,10:53:20,10315.439999999999,13:45:15,26.74
ID1237650720,0,9,6,-38.1109156,144.6541725,-37.7908183,144.9857929,47186.0,2018-07-15,03:49:07,11423.220000000008,6:59:30,40.52
ID1534245032,0,9,4,-38.1109156,144.6541725,-37.8129308,145.0156514,49161.0,2018-07-26,13:32:13,11911.020000000004,16:50:44,31.65
ID3601020305,1,1,8,-37.8160234,144.9370723,-37.807202,145.0266373,8783.0,2018-03-02,07:20:13,2275.140000000001,7:46:10,14.31
ID1888297201,0,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-04-08,09:44:20,11495.340000000007,15:17:12,30.1
ID3184038561,1,8,1,-37.807202,145.0266373,-37.8061899,144.9783206,4733.0,2018-06-02,00:11:57,1208.28,0:32:05,24.58
ID5360828996,2,8,6,-37.8158343,145.04645,-37.7738026,144.9836466,13562.0,2018-06-26,19:28:01,4192.259999999999,20:54:26,420.66
ID3422124230,1,1,6,-37.8158559,144.9571644,-37.7874421,144.9804091,4396.0,2018-07-16,02:26:42,1097.1000000000004,2:44:59,19.18
ID1820903844,0,3,1,-37.8196811,144.9711506,-37.8107465,144.9761891,1789.0,2018-03-07,16:04:04,443.33999999999986,20:26:13,9.84
ID1247597905,0,6,3,-37.773845,144.9836895,-37.8207503,144.9669943,5969.0,2018-04-06,09:09:53,1315.0800000000006,9:31:48,6.78
ID1874434527,0,4,6,-37.7995544,145.0101972,-37.7738026,144.9836466,10178.0,2018-01-14,22:12:33,3152.5200000000004,23:05:05,21.56
ID3546647724,1,9,4,-38.1109156,144.6541725,-37.8094666,144.9992353,46927.0,2018-02-08,20:19:00,11371.500000000005,0:40:26,59.64
ID1761867500,0,5,7,-37.8099116,144.9359473,-37.8618349,144.905716,10552.0,2018-03-13,17:58:45,3425.9400000000005,18:55:50,16.37
ID1374669962,0,9,1,-38.1109156,144.6541725,-37.8187387,144.9533937,42461.0,2018-02-13,18:57:02,10218.899999999996,21:47:20,28.7
ID1800235111,0,6,4,-37.7907967,144.985865,-37.8134053,145.0119362,4708.0,2018-05-09,01:49:59,1312.14,2:11:51,16.14
ID1392128647,0,8,1,-37.8158343,145.04645,-37.8219709,144.9507234,8992.0,2018-03-13,18:42:55,2615.3999999999987,19:26:30,13.18
ID3917978079,1,7,3,-37.8618349,144.905716,-37.8251449,144.9933916,9625.0,2018-01-28,09:30:32,3109.5,10:22:21,24.51
ID3563131405,1,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-03-18,03:55:33,12681.059999999998,7:26:54,72.56
ID3511326626,3,5,7,-37.8130106,144.93361,-37.8618349,144.905716,11359.0,2018-05-05,07:36:23,3712.38,8:38:15,25.69
ID1654271388,0,4,5,-37.7999799,145.0138091,-37.8093489,144.9369713,7801.0,2018-01-24,19:54:40,2041.1399999999992,20:28:41,13.25
ID1969038803,0,8,3,-37.807202,145.0266373,-37.8199731,144.9911445,4653.0,2018-05-15,15:39:02,1126.62,15:57:48,10.72
ID5582142538,2,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-02-06,17:57:01,3697.0200000000013,18:58:38,371.39
ID3575031305,2,1,8,-37.821075,144.9694435,-37.8158343,145.04645,7799.0,2018-06-15,12:21:56,2326.5600000000004,13:00:42,20.73
