Unnamed: 0,Unnamed: 0.1,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1126275302,0,3,9,-37.81697670000001,144.9800805,-38.1109156,144.65417250000004,45026.0,2018-03-06,13:24:48,10882.56,16:26:10,23.46
1,ID1878466407,0,4,8,-37.8089847,145.0088674,-37.8158343,145.04645,3666.0,2018-07-24,19:28:10,1211.64,19:48:21,4.51
2,ID3713727740,1,3,8,-37.81636760000001,144.9709231,-37.8158343,145.04645,7084.0,2018-06-13,13:03:32,2078.88,13:38:10,16.92
3,ID1525827506,0,8,2,-37.807202,145.0266373,-37.8244237,144.9365901,9378.0,2018-07-17,15:15:20,2421.420000000001,15:55:41,11.01
4,ID1159038070,0,4,7,-37.8086578,144.9933375,-37.8618349,144.90571599999996,10573.0,2018-03-06,22:50:41,3495.42,23:48:56,17.56
5,ID5940343995,2,2,8,-37.8208435,144.94731000000004,-37.8158343,145.04645,9349.0,2018-04-01,00:34:40,2583.000000000001,1:17:43,244.51
6,ID3411530717,1,5,2,-37.80247070000001,144.9341081,-37.809274,144.9375666,1027.0,2018-06-25,20:54:50,275.52,20:59:25,12.35
7,ID3230057653,1,7,9,-37.8618349,144.90571599999996,-38.1109156,144.65417250000004,50797.0,2018-02-13,06:06:50,13173.36,9:46:23,62.5
8,ID3387477168,1,2,3,-37.8245911,144.9434375,-37.8169429,144.98343469999998,3956.0,2018-05-28,11:29:16,1056.24,11:46:52,10.04
9,ID1383827502,0,6,1,-37.7908183,144.9857929,-37.8120046,144.9533889,4562.0,2018-01-04,01:17:14,1153.0200000000004,1:36:27,13.66
10,ID3821041671,1,6,3,-37.7874421,144.9804091,-37.8195226,145.0080983,5812.0,2018-04-07,22:27:48,1501.0799999999995,22:52:49,26.03
11,ID3326435804,1,2,6,-37.8239546,144.9374274,-37.7874421,144.9804091,6884.0,2018-06-03,07:48:05,1848.8400000000006,8:18:53,15.81
12,ID1699440199,0,5,4,-37.8066798,144.9376794,-37.8049059,144.99376759999996,5587.0,2018-04-08,23:26:27,1423.9800000000002,23:50:10,17.52
13,ID3921116132,1,8,7,-37.807202,145.0266373,-37.8618349,144.90571599999996,13986.0,2018-03-07,09:06:08,4298.280000000002,10:17:46,22.27
15,ID3380910421,1,6,4,-37.773845,144.9836895,-37.7997119,144.99171669999996,5357.0,2018-03-11,05:52:14,1124.9400000000003,6:10:58,22.69
17,ID1828324956,0,7,6,-37.8618349,144.90571599999996,-37.7908183,144.9857929,11712.0,2018-02-20,10:19:15,3700.9799999999987,11:20:55,7.63
18,ID3628465034,1,7,9,-37.8618349,144.90571599999996,-38.1109156,144.65417250000004,50797.0,2018-05-23,16:12:51,13173.36,19:52:24,67.33
19,ID1517237305,0,6,3,-37.773845,144.9836895,-37.8131879,144.9903765,6138.0,2018-05-01,10:24:02,1342.6800000000005,10:46:24,5.05
20,ID3575494277,1,1,6,-37.820953,144.9475811,-37.773845,144.9836895,6947.0,2018-03-03,20:29:21,1495.62,20:54:16,20.96
21,ID1564618233,0,3,8,-37.8260097,144.9666793,-37.807202,145.0266373,7271.0,2018-03-19,11:53:03,1885.3200000000006,12:24:28,4.92
22,ID1559541058,0,7,6,-37.8618349,144.90571599999996,-37.773845,144.9836895,13169.0,2018-01-08,06:07:49,3863.5799999999986,7:12:12,8.73
23,ID3599706162,1,7,6,-37.8618349,144.90571599999996,-37.7874325,144.9803767,11633.0,2018-01-12,23:39:10,3645.299999999999,0:39:55,28.38
24,ID1276986157,0,7,8,-37.8618349,144.90571599999996,-37.8158343,145.04645,15151.0,2018-01-28,16:50:12,4911.5999999999985,18:12:03,17.71
25,ID5836952511,2,1,2,-37.808443,144.9550389,-37.816894,144.9491465,1553.0,2018-03-18,11:47:55,409.91999999999985,11:54:44,52.1
26,ID1490830495,0,1,7,-37.8209258,144.9624824,-37.8618349,144.90571599999996,7335.0,2018-05-15,13:20:48,2611.5,14:04:19,13.47
27,ID1989837537,0,9,7,-38.1109156,144.65417250000004,-37.8618349,144.90571599999996,50797.0,2018-04-27,20:23:18,13204.979999999996,0:03:22,25.09
28,ID1492101233,0,3,2,-37.8253418,144.97138569999996,-37.8124052,144.9316335,5346.0,2018-04-06,13:03:21,1417.3199999999995,13:26:58,9.77
29,ID3966213216,1,8,6,-37.8158343,145.04645,-37.7874421,144.9804091,8357.0,2018-06-07,15:35:27,2437.38,16:16:04,20.78
30,ID1444212775,0,1,8,-37.8085801,144.9408138,-37.8158343,145.04645,9911.0,2018-06-23,23:19:57,2746.08,0:05:43,20.13
